id,latitude,longitude,name,type,pm25,color,url,label
70,25.061,121.616,日升月恆,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FE72,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
71,24.082,120.54,joygold,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F6FE6A,&starf;&starf;&starf;&starf;&starf;
72,25.03,121.527,Ktest,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F16700,&starf;&starf;&starf;&starf;&star;
73,25.0624524,121.5823205,f2,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38F166F2,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
74,25.03,121.527,cb00456,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38ED07EE,&starf;&starf;&starf;&star;&star;
75,23.914,120.541,fdps1F,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38ED07D2,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
76,24.857,120.992,CB00492,Malfunction,1,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38ED07C4,&star;&star;&star;&star;&star;
77,24.165,120.726,太和東街_陽台抽煙的去X,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38ED073E,&starf;&starf;&starf;&star;&star;
78,22.982,120.29,空氣盒子PM2.5,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38ED06F8,&star;&star;&star;&star;&star;
79,25.048,121.45,Chris,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38ED06A6,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
80,25.029,121.479,AI1001WV285CB00224,AirBox,0,0000ff,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38ED0688,<font color="#990000">&#8212;&#8212;&#8212;&#8212;&#8212;</font>
81,25.025,121.523,台大醫院工,Malfunction,0,ff0000,/grafana/d/airbox_dashboard_v3/airdata?orgId=2&var-source=AirBox&var-device_id=74DA38ED0676,&starf;&star;&star;&star;&star;
